Id,Date,DateOnly,WeightKg,WeightPounds,Fat,BMI,IsManualReport,LogId
1503960366,4/5/16 11:59 PM,4/5/2016,53.30,117.5063841,22,22.97,TRUE,1.4599E+12
1927972279,4/10/16 6:33 PM,4/10/2016,129.60,285.7191052,,46.17,FALSE,1.46031E+12
2347167796,4/3/16 11:59 PM,4/3/2016,63.40,139.7730776,10,24.77,TRUE,1.45973E+12
2873212765,4/6/16 11:59 PM,4/6/2016,56.70,125.0021043,,21.45,TRUE,1.45999E+12
2873212765,4/7/16 11:59 PM,4/7/2016,57.20,126.1044157,,21.65,TRUE,1.46007E+12
2891001357,4/5/16 11:59 PM,4/5/2016,88.40,194.8886431,,25.03,TRUE,1.4599E+12
4445114986,3/30/16 11:59 PM,3/30/2016,92.40,203.7071336,,35.01,TRUE,1.45938E+12
4558609924,4/8/16 11:59 PM,4/8/2016,69.40,153.0008133,,27.14,TRUE,1.46016E+12
4702921684,4/4/16 11:59 PM,4/4/2016,99.70,219.8008687,,26.11,TRUE,1.45981E+12
6962181067,3/30/16 11:59 PM,3/30/2016,61.50,135.5842912,,24.03,TRUE,1.45938E+12
6962181067,3/31/16 11:59 PM,3/31/2016,61.50,135.5842912,,24.03,TRUE,1.45947E+12
6962181067,4/1/16 11:59 PM,4/1/2016,60.90,134.261521,,23.78,TRUE,1.45956E+12
6962181067,4/2/16 11:59 PM,4/2/2016,61.20,134.9229061,,23.89,TRUE,1.45964E+12
6962181067,4/3/16 11:59 PM,4/3/2016,61.50,135.5842912,,24.03,TRUE,1.45973E+12
6962181067,4/4/16 11:59 PM,4/4/2016,62.40,137.568455,,24.35,TRUE,1.45981E+12
6962181067,4/5/16 11:59 PM,4/5/2016,61.70,136.0252175,,24.10,TRUE,1.4599E+12
6962181067,4/6/16 11:59 PM,4/6/2016,62.20,137.1275288,,24.28,TRUE,1.45999E+12
6962181067,4/7/16 11:59 PM,4/7/2016,62.20,137.1275288,,24.28,TRUE,1.46007E+12
6962181067,4/8/16 11:59 PM,4/8/2016,61.70,136.0252175,,24.10,TRUE,1.46016E+12
6962181067,4/9/16 11:59 PM,4/9/2016,62.10,136.9070615,,24.24,TRUE,1.46025E+12
6962181067,4/10/16 11:59 PM,4/10/2016,62.50,137.7889139,,24.39,TRUE,1.46033E+12
6962181067,4/11/16 11:59 PM,4/11/2016,62.20,137.1275288,,24.28,TRUE,1.46042E+12
6962181067,4/12/16 11:59 PM,4/12/2016,62.50,137.7889139,,24.39,TRUE,1.46051E+12
8253242879,4/7/16 11:59 PM,4/7/2016,75.60,166.6694668,,29.55,TRUE,1.46007E+12
8877689391,4/1/16 6:49 AM,4/1/2016,85.50,188.4952342,,25.61,FALSE,1.45949E+12
8877689391,4/4/16 6:53 AM,4/4/2016,86.60,190.9203157,,25.94,FALSE,1.45975E+12
8877689391,4/5/16 6:40 AM,4/5/2016,86.00,189.5975455,,25.76,FALSE,1.45984E+12
8877689391,4/6/16 6:49 AM,4/6/2016,86.30,190.258939,,25.83,FALSE,1.45993E+12
8877689391,4/7/16 6:15 AM,4/7/2016,85.10,187.6133818,,25.49,FALSE,1.46001E+12
8877689391,4/8/16 6:39 AM,4/8/2016,85.00,187.3929229,,25.44,FALSE,1.4601E+12
8877689391,4/9/16 8:06 AM,4/9/2016,85.40,188.2747753,,25.56,FALSE,1.46019E+12
8877689391,4/11/16 6:58 AM,4/11/2016,86.10,189.8180044,,25.79,FALSE,1.46036E+12
8877689391,4/12/16 6:47 AM,4/12/2016,85.80,189.1566277,,25.68,FALSE,1.46044E+12
